FIELD LABEL | API NAME
"Fit. Adj. Full Waist"|"Fit_Adj_Full_Waist"
"Fit. Adj. Hips"|"Fit_Adj_Hips"
"Fit. Adj. Jacket Length"|"Fit_Adj_Jacket_Length"
"Fit. Adj. Knee"|"Fit_Adj_Knee"
"Fit. Adj. L. Sleeve"|"Fit_Adj_L_Sleeve"
"Fit. Adj. Neck"|"Fit_Adj_Neck"
"Fit. Adj. Neck Tuck"|"Fit_Adj_Neck_Tuck"
"Fit. Adj. Pinched Neck"|"Fit_Adj_Pinched_Neck"
"Fit. Adj. R. Sleeve"|"Fit_Adj_R_Sleeve"
"Fit. Adj. Seat"|"Fit_Adj_Seat"
"Fit. Adj. Shoulder (P to P)"|"Fit_Adj_Shoulders_PtoP"
"Fit. Adj. Shoulders"|"Fit_Adj_Shoulders"
"Fit. Adj. Sleeve Length R."|"Fit_Adj_Sleeve_Length_R"
"Fit. Adj. Stomach Area"|"Fit_Adj_Stomach_Area"
"Fit. Adj. Thigh"|"Fit_Adj_Thigh"
"Fit. Adj. Unfinished Inseam"|"Fit_Adj_Unfinished_Inseam"
"Fit. Adj. Vest Waist"|"Fit_Adj_Vest_Waist"
"Fit. Adj. Waist"|"Fit_Adj_Waist"
"Fit. Adj. Wrist (L)"|"Fit_Adj_Wrist_L"
"Fit. Adj. Wrist (R)"|"Fit_Adj_Wrist_R"
"Forearm"|"Forearm"
"Front Length"|"Front_Length"
"Full Waist"|"Full_Waist"
"Height"|"Height"
"Hips"|"Hips"
"Hips Ease"|"Hips_Ease"
"Is this Order Urgent/Expedited/Standard-Priority?"|"Is_this_Order_Urgent_Expedited_Standard_Priority1"
"Jacket Adjustments Confirmed"|"Jacket_Alterations_Confirmed"
"Jacket Body"|"Jacket_Body"
"Jacket Confirmed"|"Jacket_Confirmed"
"Jacket Fit (Supplier Model Name)"|"Jacket_Fit_Supplier_Model_Name"
"Jacket Fit Notes (Client Facing)"|"Jacket_Fit_Notes_External"
"Jacket Fit Pictures Taken and Uploaded"|"Jacket_Fit_Pictures_Taken_and_Uploaded"
"Jacket Fitting Notes (Internal)"|"Jacket_Fitting_Notes"
"Jacket Length"|"Jacket_Length"
"Jacket Msmt Profile Status"|"Jacket_Msmt_Profile_Status"
"Jacket Try-On"|"Jacket_Try_On"
"Knee"|"Knee"
"L. Sleeve"|"L_Sleeve"
"Measurement Profile Name"|"Name"
"Measurement Profile Owner"|"Owner"
"Measurement Profile Stage"|"Measurement_Profile_Stage"
"Measurement Type"|"Measurement_Type"
"Modified By"|"Modified_By"
"Neck"|"Neck"
"Neck Tuck"|"Neck_Tuck1"
"Neck Tuck?"|"Neck_Tuck"
"Next Actions for Urgent/Exp./Standard-Priority"|"Next_Actions_for_Urgent_Expedited"
"Notable Back/Shoulder Injuries & Past Fit Issues"|"Notable_Injuries"
"Pant Adjustments Confirmed"|"Pant_Adjustments_Confirmed"
"Pant Fit (Supplier Model Name)"|"Pant_Fit_Supplier_Model_Name"
"Pant Fit Notes (Client Facing)"|"Pant_Fit_Notes_External"
"Pant Fit Pictures Taken and Uploaded"|"Pant_Fit_Pictures_Taken_and_Uploaded"
"Pant Fitting Notes (Internal)"|"Pant_Fitting_Notes"
"Pant Msmt Profile Status"|"Pant_Msmt_Profile_Status"
"Pant Try-On"|"Pant_Try_On"
"Pants Confirmed"|"Pants_Confirmed"
"Pinched Neck"|"Pinched_Neck1"
"Pinched Neck?"|"Pinched_Neck"
"Posture/Shoulder Angle"|"Posture_Shoulder"
"R. Sleeve"|"R_Sleeve"
"Seat"|"Seat"
"Shirt Confirmed"|"Shirt_Measurements_Confirmed"
"Shirt Fitting Notes (For Vendor)"|"Shirt_Fitting_Notes_Vendor"
"Shirt Fitting Notes (Internal)"|"Shirt_Fitting_Notes"
"Shirt Msmt Profile Status"|"Shirt_MP_Status"
"Shirt Shoulder Posture"|"Shirt_Shoulder_Posture"
"Shoe Size"|"Shoe_Size"
"Shoulder (P to P)"|"Shoulder"
"Shoulders"|"Shoulders"
"Sleeve Cuff"|"Sleeve_Cuff"
"Sleeve Length R."|"Sleeve_Length_R"
"Stomach Area"|"Stomach_Area"
"Stomach Ease"|"Stomach_Ease"
"Styling before Measurement?"|"Styling_before_Measurement"
"Thigh"|"Thigh"
"Try-On Back Length"|"Try_On_Back_Length"
"Try-On Bottom"|"Try_On_Bottom"
"Try-On Ease"|"Try_On_Ease"
"Try-On Full Waist"|"Try_On_Full_Waist"
"Try-On Jacket Length"|"Try_On_Jacket_Length"
"Try-On Knee"|"Try_On_Knee"
"Try-On L. Sleeve"|"Try_On_Left_Sleeve"
"Try-On R. Sleeve"|"Try_On_Right_Sleeve"
"Try-On Rise"|"Try_On_Rise"
"Try-On Seat"|"Try_On_Seat"
"Try-On Shoulder (P to P)"|"Try_On_Shoulder"
"Try-On Sleeve Cuff"|"Try_On_Sleeve_Cuff"
"Try-On Thigh"|"Try_On_Thigh"
"Try-On Unfinished Inseam"|"Try_On_Unfinished_Inseam"
"Try-On Vest Waist"|"Try_On_Vest_Waist"
"Try-On Waist"|"Try_On_Waist"
"Unfinished Inseam"|"Unfinished_Inseam"
"Update Title for GFM on Save"|"Update_Title_for_GFM_on_Save"
"Vest Confirmed"|"Vest_Confirmed"
"Vest Fit (Supplier Model)"|"Vest_Fit_Supplier_Model"
"Vest Fit Pictures Taken and Uploaded"|"Vest_Fit_Pictures_Taken_and_Uploaded"
"Vest Fitting Notes (Internal)"|"Vest_Fitting_Notes"
"Vest Msmt Profile Status"|"Vest_Msmt_Profile_Status"
"Vest Try-On"|"Vest_Try_On"
"Vest Waist"|"Vest_Waist"
"Vest Waist Rounding"|"Vest_Waist_Rounding"
"Waist"|"Waist"
"Wrist (Left)"|"Wrist_Left"
"Wrist (Right)"|"Wrist_Right"
"Wrist Ease"|"Wrist_Ease"
"Coat Fitting Notes (Internal)"|"Coat_Fitting_Notes_Internal"
"Accountable"|"Accountable"
"Action ID"|"Name"
"Action Notes"|"Action_Notes"
"Action Owner"|"Owner"
"Action Type"|"Action_Type"
"Actual Alt Price"|"Actual_Alt_Price"
"Alt. Categories"|"Alt_Categories"
"Alt. QC Required"|"Alt_QC_Required"
"Alteration Required"|"Alteration_Required"
"Alteration Status"|"Alteration_Status"
"Alterations Prep Steps"|"Alterations_Prep_Steps"
"Client"|"Client"
"Client Portion"|"Client_Portion"
"Cost to MADE (after Reimbursement)"|"Cost_to_MADE_After_Reimbursement"
"Created By"|"Created_By"
"Currency"|"Currency"
"Date Action Reported"|"Date_Action_Reported"
"Date Error Resolved"|"Date_Error_Resolved"
"Date Question Submitted"|"Date_Question_Submitted"
"Days to Error Resolution"|"Days_to_Error_Resolution"
"Deal"|"Deal"
"Error Cost Description"|"Error_Cost_Description"
"Error/Issue Description"|"Error_Description"
"Error/Issue Origin"|"Error_Origin"
"Error/Issue Status"|"Error_Issue_Status"
"Error/Issue Title"|"Error_Issue_Title"
"Error/Issue Type"|"Error_Issue_Type"
"Exchange Rate"|"Exchange_Rate"
"Garment"|"Garment"
"Is this Alteration a re-do?"|"Is_this_Alteration_a_re_do"
"Issues Categories"|"Issues_Categories"
"MADE Portion"|"MADE_Portion"
"Modified By"|"Modified_By"
"Quality Control Steps"|"Quality_Control_Steps"
"Question Description"|"Question_Description"
"Question Status"|"Question_Status"
"Shirt Supplier Portion"|"Shirt_Supplier_Portion"
"Stage this Action was created"|"Action_Stage"
"Suit Supplier Portion"|"Suit_Supplier_Portion"
"Sum of MADE Costs"|"Sum_of_MADE_Costs"
"Tailoring Payment Date"|"Tailoring_Payment_Date"
"Total Recovered"|"Total_Recovered"
"Vendor"|"Vendor"
"Account Image"|"Record_Image"
"Account Name"|"Account_Name"
"Account Owner"|"Owner"
"Account Type"|"Account_Type"
"Annual Revenue"|"Annual_Revenue"
"Billing City"|"Billing_City"
"Billing Country"|"Billing_Country"
"Billing Street"|"Billing_Street"
"Created By"|"Created_By"
"Currency"|"Currency"
"Description"|"Description"
"Drive Folder ID"|"gdriveextension__Drive_Folder_ID"
"Drive URL"|"gdriveextension__Drive_URL"
"Exchange Rate"|"Exchange_Rate"
"Industry"|"Industry"
"Modified By"|"Modified_By"
"Phone"|"Phone"
"Ticker Symbol"|"Ticker_Symbol"
"Accessories Purchased"|"Puchased"
"Accessory Details"|"Accessory_Details"
"Actual First Fitting Date"|"Actual_First_Fitting_Date"
"Actual Pickup Date"|"Actual_Pickup_Date"
"Actual Second Fitting Date"|"Actual_Final_Fitting_Date"
"All Garments Pass QC Date"|"All_Garments_Pass_QC_Date"
"Alterations"|"Alterations"
"Alterations Being Done"|"Alterations_Being_Done"
"Client Order Name"|"Name"
"Client's Personal Items"|"Client_s_Personal_Items"
"Cost Jacket"|"Cost_Jacket"
"Cost Pant"|"Cost_Pant"
"Cost Shirt"|"Cost_Shirt"
"Cost Vest"|"Cost_Vest"
"CSI"|"CSI"
"Currency"|"Currency"
"Current Number of Visits"|"Number_of_Visits"
"Date Dropped Off"|"Date_Dropped_Off"
"Date Finished QC"|"Date_Finished_QC"
"Days at Tailor"|"Days_at_Tailor"
"Days to Complete"|"Days_to_Complete"
"Days to First Fitting"|"Days_to_First_Fitting"
"Days to QC PASS"|"Days_to_QC_PASS"
"Event Date (External)"|"Event_Date"
"Exchange Rate"|"Exchange_Rate"
"Expected Pickup Date"|"Expected_Pickup_Date"
"Expected Suit Delivery"|"Expected_Suit_Delivery"
"Final Fitting"|"Final_Fitting"
"First Fitting Zone"|"Ideal_First_Fitting_Date"
"Garments Taken Home"|"Taken_Home"
"In Stock"|"In_Stock"
"Items Purchased/Received"|"Items_Purchased"
"Last Day to Escalate"|"Last_Day_to_Escalate"
"Notes for Prep"|"Please_also_prep"
"Notes for QC"|"QC"
"Notes."|"Notes2"
"Number of Visits Owed"|"Hours_Owed"
"Order Completion Date"|"Order_Completion"
"Order Purchase or Drop Off Date"|"Purchase_Date"
"Order Shirting Fabric(s)"|"Shirting_Fabric_s"
"Order Speed"|"Speed"
"Order Stage"|"Order_Stage"
"Order Status"|"Order_Status"
"Order Suiting Fabric"|"Suiting_Fabric"
"Outseam"|"Outseam1"
"Payment Date"|"Payment_Date"
"Quantity"|"Quantity"
"Re-Do Required"|"Re_Do_Required"
"Regular Order"|"Regular_Order"
"Related Deal"|"Related_Deal"
"S.Cohen Order Number"|"S_Cohen_Order_Number"
"S.Cohen Order Status"|"S_Cohen_Status"
"Shirt Box Arrival"|"Shirt_Box_Arrived"
"Shirt Box Number"|"Shirt_Box_Number"
"Shirt Box Shipped"|"Shirt_Box_Shipped"
"Shirt Order Status"|"Shirt_Order_Status"
"Shirt QC Pass"|"Shirt_QC_Pass"
"Suit Arrival at MADE"|"Suit_Arrival_at_MADE"
"Suit Arrival in MTL"|"Suit_Arrival_in_MTL"
"Suit QC Pass Date"|"Suit_QC_Pass_Date"
"Target Order Completion (Internal)"|"TARGET_Order_Completion"
"Total Order Cost"|"Total_Order_Cost"
"TR Code"|"TR_Code"
"Where did the Error Occur?"|"Error_Type_1"
"Where there errors in this order?"|"Error_1"
"Work In Progress Owner"|"Owner"
"Actual Pick up Date"|"Actual_Pick_up_Date"
"Alterations"|"altss"
"Alterations Being Done."|"Alterations_Being_Done1"
"Client Name"|"Name"
"Client Personal Items"|"Client_Personal_Items"
"Cost Jacket"|"Cost_Jacket"
"Cost Pant"|"Cost_Pant"
"Cost Shirt"|"Cost_Shirt"
"Cost Vest"|"Cost_Vest"
"CSI"|"CSI"
"Currency"|"Currency"
"Date Dropped Off"|"Date_Dropped_Off"
"Date Finished QC"|"Date_Finished_QC"
"Drop off Date Redo"|"Drop_off_Date_Redo"
"Exchange Rate"|"Exchange_Rate"
"Expected Pick up Date"|"Pick_up_Date"
"Final Fitting Date"|"Final_Fitting_Date"
"In Stock"|"In_Stock"
"Notes"|"Multi_Line_1"
"Number of Visits"|"Number_of_Visits"
"Order Status"|"Order_Status"
"Outseam"|"Finished_Outseam1"
"Pick up Date on Redo"|"ETA_on_Re_Do"
"Re-Do Required"|"Re_Do_Required"
"Regular Order"|"Regular_Order"
"Rush"|"Rush"
"Tailoring Owner"|"Owner"
"Third Fitting Date"|"Second_Fitting_Date"
"Total Days at Tailor"|"Total_Days_at_Tailor"
"Total Order Cost"|"Total_Order_Cost"
"Total Paid by Client"|"Total_Paid_by_Client"
"Total Paid MADE"|"Total_Paid_MADE1"
"Total Paid Supplier"|"Total_Paid_Supplier"
"Total Profit"|"Cost_For_Alteration"
"Went to Magic"|"Went_to_Magic"
"Went to Silk"|"Went_to_Silk"
.v1.|.
"Leads"|"Leads"
"Contacts"|"Contacts"
"Deals"|"Deals"
"CustomModule13"|"Garment"
"CustomModule10"|"Measurements"
"CustomModule24"|"Actions"
"Reports"|"Reports"
"CustomModule14"|"Fabric_Database"
"Activities"|"Activities"
"Tasks"|"Tasks"
"Events"|"Events"
"Calls"|"Calls"
"CustomModule7"|"TR_Codes"
"CustomModule15"|"Accessories"
"CustomModule27"|"Accessories_Database"
"CustomModule25"|"Alterations1"
"CustomModule23"|"Gift_Cards_Credits"
"CustomModule26"|"Marketing_NEW"
"CustomModule22"|"Shirt_Boxes"
"CustomModule28"|"Try_On_Shirts_Eases"
"CustomModule12"|"Try_On_Jackets"
"CustomModule11"|"Try_On_Pants"
"CustomModule16"|"Try_On_Vests"
"CustomModule3"|"Customer_Service_Issues"
"Analytics"|"Dashboards"
"Products"|"Products"
"CustomModule2"|"Reviews"
"Forecasts"|"Forecasts"
"Approvals"|"Approvals"
"Accounts"|"Accounts"
"CustomModule6"|"Work_In_Progress"
"CustomModule1"|"Tailoring"
"Documents"|"Documents"
searchRecordsByPDC|searchRecords
